ZIP,LAT,LNG,City,State ,County
83272,42.166116,-111.51117,Saint Charles,ID,Bear Lake
83274,43.34884,-112.097984,Shelley,ID,Bingham
83276,42.747939,-111.508511,Soda Springs,ID,Caribou
83277,43.066895,-112.667158,Springfield,ID,Bingham
83278,44.336299,-114.813696,Stanley,ID,Custer
83281,42.329852,-111.965452,Swanlake,ID,Bannock
83283,42.3711,-111.63247,Thatcher,ID,Franklin
83285,43.072392,-111.30302,Wayan,ID,Caribou
83286,42.063423,-112.015748,Weston,ID,Franklin
83287,42.042246,-111.399191,Fish Haven,ID,Bear Lake
83301,42.400555,-114.524876,Twin Falls,ID,Twin Falls
83302,42.226893,-115.009033,Rogerson,ID,Twin Falls
83311,42.391733,-113.56472,Albion,ID,Cassia
83312,41.975985,-113.650773,Almo,ID,Cassia
83313,43.35072,-114.260756,Bellevue,ID,Blaine
83314,42.985016,-114.951592,Bliss,ID,Gooding
83316,42.619859,-114.882859,Buhl,ID,Twin Falls
83318,42.439675,-113.815864,Burley,ID,Cassia
83320,43.481456,-113.872707,Carey,ID,Blaine
83321,42.463501,-114.914924,Castleford,ID,Twin Falls
83322,43.349499,-114.978595,Corral,ID,Camas
83323,42.502958,-113.391556,Declo,ID,Cassia
83324,42.87274,-114.27211,Dietrich,ID,Lincoln
83325,42.587877,-114.240846,Eden,ID,Jerome
83327,43.492599,-114.809455,Fairfield,ID,Camas
83328,42.570448,-114.613167,Filer,ID,Twin Falls
83330,42.951933,-114.707998,Gooding,ID,Gooding
83332,42.803128,-114.924974,Hagerman,ID,Gooding
83333,43.568308,-114.31095,Hailey,ID,Blaine
83334,42.44446,-114.292089,Hansen,ID,Twin Falls
83335,42.579582,-114.066822,Hazelton,ID,Jerome
83336,42.56468,-113.82465,Heyburn,ID,Minidoka
83337,43.224071,-115.152058,Hill City,ID,Camas
83338,42.725104,-114.431903,Jerome,ID,Jerome
83340,43.742478,-114.638311,Ketchum,ID,Blaine
83341,42.419106,-114.370742,Kimberly,ID,Twin Falls
83342,42.177466,-113.255097,Malta,ID,Cassia
83344,42.446919,-114.138302,Murtaugh,ID,Twin Falls
83346,42.284852,-113.824404,Oakley,ID,Cassia
83347,42.663622,-113.80902,Paul,ID,Minidoka
83348,43.249472,-114.10768,Picabo,ID,Blaine
83349,43.096544,-114.181412,Richfield,ID,Lincoln
83350,42.694326,-113.579982,Rupert,ID,Minidoka
83352,43.070085,-114.412326,Shoshone,ID,Lincoln
83353,43.692299,-114.325161,Sun Valley,ID,Blaine
83354,43.670188,-114.322264,Sun Valley,ID,Blaine
83355,42.757435,-114.722206,Wendell,ID,Gooding
83401,43.542409,-111.877936,Idaho Falls,ID,Bonneville
83402,43.534886,-112.174467,Idaho Falls,ID,Bonneville
83404,43.421905,-112.011535,Idaho Falls,ID,Bonneville
83406,43.443948,-111.811633,Idaho Falls,ID,Bonneville
83414,43.836791,-110.938066,#N/A,#N/A,#N/A
83420,44.077471,-111.346444,Ashton,ID,Fremont
83421,44.020098,-111.529233,Chester,ID,Fremont
